Agency,County,Description,Image,Name,Price
Tinzie Realty,Aguila,"Aguila, AZ 85320",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,49316 N 528th Avenue,"$520,000"
Realty One Group,Aguila,"Aguila, AZ 85320",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,47825 N 522nd Avenue,"$298,000"
My Home Group Real Estate,Aguila,"Aguila, AZ 85320",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,47825 N 510th Avenue,"$675,000"
West Usa Realty,Aguila,"Aguila, AZ 85320",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,51243 W Hector Road,"$350,000"
Maynard Properties.Net,Aguila,"Aguila, AZ 85320",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,48008 N 508th Avenue,"$670,000"
My Home Group Real Estate,Aguila,"Aguila, AZ 85320",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,48014 N 510th Avenue,"$599,000"
Realty One Group,Aguila,"Aguila, AZ 85320",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,51412 W William Road,"$650,000"
West Usa Realty,Aguila,"Aguila, AZ 85320",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,49815 N Eagle View Drive,"$220,000"
Tinzie Realty,Aguila,"Aguila, AZ 85320",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,51008 W Pete Road,"$1,200,000"
Arizona Legends Realty,Aguila,"Aguila, AZ 85320",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,48317 N 529th Avenue,"$499,000"
Dipeso Realty,Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,1419 N Cottonwood Ln,"$185,000"
Long Realty-Benson,Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,1552 Cottonwood Bluffs Dr,"$270,000"
Dipeso Realty,Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,466 E Hillcrest Dr,"$94,500"
Realty Executives Arizona Territory,Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,345 N Calle Tortuga,"$499,900"
"Haymore Real Estate, Llc",Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,224 E 6th St,"$269,900"
Copper Lodge Realty,Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,3133 N North Star Rd,"$375,000"
Mariposa Realty Llc,Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,997 S Throne Room St,"$265,000"
"Haymore Real Estate, Llc",Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,1102 W Jennella Dr,"$489,000"
Long Realty Company,Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,25220 E Walapai Trl,"$168,000"
Copper Lodge Realty,Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,2290 N Sunset Ave,"$199,000"
Long Realty-Benson,Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,120 E Mark St,"$79,500"
Haymore Real Estate,Benson,"Benson, AZ 85602",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,3183 W Robin Dr,"$55,000"
Arizona Homestores Llc,Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,324 Black Knob View,"$309,000"
"Tierra Antigua Realty, Llc",Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,16 Clawson Avenue,"$497,000"
Keller Williams Southern Az,Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,135 Graham Drive,"$150,000"
Flat List Re,Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,407 Powell Street,"$275,000"
Sabino Canyon Realty,Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,25 Sowle Avenue,"$398,000"
Arizado Realty,Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,107 Bornite Avenue,"$154,000"
Long Realty Company,Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,11 Ocotillo Street,"$190,000"
Arizado Realty,Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,208 Hereford Road,"$87,000"
"Tierra Antigua Realty, Llc",Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,522 Ruppe Avenue,"$255,000"
"Tierra Antigua Realty, Llc",Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,21-F Laundry Hill,"$460,000"
Eliza Adams Real Estate,Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,13 Locklin Avenue,"$615,000"
Arizona 360 Realty,Bisbee,"Bisbee, AZ 85603",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,18 Wolverine Street #18,"$146,000"
Arizona Home Pro's,Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,13685 S Overfield Road,"$580,000"
"Congress Realty, Inc.",Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,7558 W Alsdorf Road,"$519,000"
Jpar Vantage,Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,15549 S Williams Place,"$455,000"
"Hawkins & Associates Realty, Inc.",Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,14306 S Palo Verde Trail,"$425,000"
Prosmart Realty,Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,14264 S Baniff Lane,"$400,000"
Ivory Towers Realty,Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,15817 S Hilo Circle,"$390,000"
Smartpro Real Estate,Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,15301 S Bentley Place,"$379,000"
Ivory Towers Realty,Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,14811 S Country Club Way,"$370,000"
Ivory Towers Realty,Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,15960 S Warren Place,"$365,000"
Homesmart,Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,15950 S Kona Circle,"$359,000"
Best Homes Real Estate,Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,8375 W Concordia Drive,"$350,000"
Exp Realty,Arizona City,"Arizona City, AZ 85123",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,9013 W Swansea Drive,"$350,000"
Realty One Group,Buckeye,"Buckeye, AZ 85326",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,6024 S 196th Drive,"$3,900,000"
Keller Williams Elite,Buckeye,"Buckeye, AZ 85396",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4142 N Golf Drive,"$1,900,000"
My Home Group Real Estate,Buckeye,"Buckeye, AZ 85326",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,26325 W Robbins Butte Game Road,"$1,800,000"
"Bella Casa Realty, Llc",Buckeye,"Buckeye, AZ 85326",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,12714 S Airport Road,"$1,720,655"
Network Realty,Buckeye,"Buckeye, AZ 85396",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,4500 N Regent Street,"$1,720,000"
Network Realty,Buckeye,"Buckeye, AZ 85396",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,21055 W Mountain Cove Place,"$1,720,000"
David Weekley Homes,Buckeye,"Buckeye, AZ 85396",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,21326 W Mariposa Street,"$1,537,856"
Realty One Group,Buckeye,"Buckeye, AZ 85396",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,19805 W Amelia Avenue,"$1,440,000"
Yay Realty,Buckeye,"Buckeye, AZ 85326",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,19816 W Miami Street,"$1,299,000"
David Weekley Homes,Buckeye,"Buckeye, AZ 85396",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,20748 W Rattler Road,"$1,249,362"
Homesmart,Buckeye,"Buckeye, AZ 85396",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,3813 N 195th Drive,"$1,200,000"
Keller Williams Elite,Buckeye,"Buckeye, AZ 85396",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,20579 W Meadowbrook Avenue,"$1,195,000"
Keller Williams Realty Sonoran Living,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,697 N Lola Lee Road,"$3,800,000"
Elite Real Estate Pros,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,9549 W Coral Mountain Drive,"$1,099,000"
Keller Williams Legacy One,Casa Grande,"Casa Grande, AZ 85122",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,3589 S Henness Road,"$999,999"
The Maricopa Real Estate Co,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,11954 N Hazeldine Road,"$995,999"
Watkins Real Estate,Casa Grande,"Casa Grande, AZ 85194",,8578 N Buena Vista Drive,"$882,700"
Watkins Real Estate,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,8640 N Buena Vista Drive,"$882,000"
Keller Williams Legacy One,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,10729 W Martin Road,"$879,000"
"America's All In One Real Estate Services, Inc.",Casa Grande,"Casa Grande, AZ 85122",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,13472 W Selma Highway,"$865,000"
Keller Williams Southern Az,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,6468 N Cholla Lane,"$800,000"
Homesmart,Casa Grande,"Casa Grande, AZ 85122",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,8025 N Jefferson Avenue,"$780,000"
Elite Real Estate Pros,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,10327 W Ironwood Drive,"$779,000"
Exp Realty,Casa Grande,"Casa Grande, AZ 85194",https://css.site-static.com/assets/dist/v202211161540/images/listings/loadingphoto_mid.gif,8660 N Calle Vistoso,"$775,000"
